,hourofyear,job_name,hour
371,600.0,909,0.0
372,601.0,661,1.0
373,602.0,386,2.0
374,603.0,517,3.0
375,604.0,689,4.0
376,605.0,585,5.0
377,606.0,552,6.0
378,607.0,677,7.0
379,608.0,647,8.0
380,609.0,507,9.0
381,610.0,504,10.0
382,611.0,722,11.0
383,612.0,715,12.0
384,613.0,339,13.0
385,614.0,384,14.0
386,615.0,321,15.0
387,616.0,276,16.0
388,617.0,950,17.0
389,618.0,708,18.0
390,619.0,464,19.0
391,620.0,533,20.0
392,621.0,469,21.0
393,622.0,646,22.0
394,623.0,401,23.0
395,624.0,929,24.0
396,625.0,740,25.0
397,626.0,352,26.0
398,627.0,286,27.0
399,628.0,418,28.0
400,629.0,653,29.0
401,630.0,423,30.0
402,631.0,860,31.0
403,632.0,704,32.0
404,633.0,652,33.0
405,634.0,1024,34.0
406,635.0,1037,35.0
407,636.0,644,36.0
408,637.0,819,37.0
409,638.0,857,38.0
410,639.0,996,39.0
411,640.0,950,40.0
412,641.0,930,41.0
413,642.0,763,42.0
414,643.0,586,43.0
415,644.0,696,44.0
416,645.0,758,45.0
417,646.0,635,46.0
418,647.0,598,47.0
419,648.0,712,48.0
420,649.0,621,49.0
421,650.0,424,50.0
422,651.0,526,51.0
423,652.0,429,52.0
424,653.0,383,53.0
425,654.0,427,54.0
426,655.0,637,55.0
427,656.0,866,56.0
428,657.0,729,57.0
429,658.0,1011,58.0
430,659.0,986,59.0
431,660.0,756,60.0
432,661.0,1027,61.0
433,662.0,972,62.0
434,663.0,1084,63.0
435,664.0,971,64.0
436,665.0,1255,65.0
437,666.0,1013,66.0
438,667.0,655,67.0
439,668.0,680,68.0
440,669.0,710,69.0
441,670.0,688,70.0
442,671.0,620,71.0
443,672.0,984,72.0
444,673.0,822,73.0
445,674.0,330,74.0
446,675.0,263,75.0
447,676.0,430,76.0
448,677.0,507,77.0
449,678.0,484,78.0
450,679.0,636,79.0
451,680.0,499,80.0
452,681.0,644,81.0
453,682.0,1200,82.0
454,683.0,1307,83.0
455,684.0,790,84.0
456,685.0,584,85.0
457,686.0,944,86.0
458,687.0,933,87.0
459,688.0,1007,88.0
460,689.0,919,89.0
461,690.0,789,90.0
462,691.0,660,91.0
463,692.0,824,92.0
464,693.0,548,93.0
465,694.0,554,94.0
466,695.0,776,95.0
467,696.0,1080,96.0
468,697.0,1083,97.0
469,698.0,403,98.0
470,699.0,328,99.0
471,700.0,358,100.0
472,701.0,431,101.0
473,702.0,552,102.0
474,703.0,345,103.0
475,704.0,589,104.0
476,705.0,867,105.0
477,706.0,949,106.0
478,707.0,1241,107.0
479,708.0,1124,108.0
480,709.0,704,109.0
481,710.0,834,110.0
482,711.0,927,111.0
483,712.0,779,112.0
484,713.0,1080,113.0
485,714.0,665,114.0
486,715.0,729,115.0
487,716.0,1081,116.0
488,717.0,868,117.0
489,718.0,651,118.0
490,719.0,513,119.0
491,720.0,1218,120.0
492,721.0,711,121.0
493,722.0,430,122.0
494,723.0,452,123.0
495,724.0,415,124.0
496,725.0,429,125.0
497,726.0,558,126.0
498,727.0,684,127.0
499,728.0,796,128.0
500,729.0,949,129.0
501,730.0,896,130.0
502,731.0,1103,131.0
503,732.0,681,132.0
504,733.0,984,133.0
505,734.0,1088,134.0
506,735.0,886,135.0
507,736.0,785,136.0
508,737.0,879,137.0
509,738.0,719,138.0
510,739.0,467,139.0
511,740.0,456,140.0
512,741.0,460,141.0
513,742.0,535,142.0
514,743.0,409,143.0
515,744.0,1002,144.0
516,745.0,764,145.0
